fixture_slug,snapshot_first_diagnostic,current_check_first_line_20260403,current_check_exit_code_20260403_rerun,current_check_status_20260403_rerun,still_failing_on_current_check,root_cause_cluster,resolution_owner,rationale
0002_add_two_numbers,"type error: return type mismatch: expected 'ListNode', got 'None | ListNode'",no errors found,0,pass,no,cluster_recursive_nullable_return_contract,compiler_fix,return ListNode vs None|ListNode should follow declared nullable linked-list contract
0046_permutations,type error: list.append() argument type 'int | None' is not compatible with list element type 'int',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,list element type poisoned by optional index read despite dominated loop bounds
0047_permutations_ii,"type error: argument 1 ('source') of function '__compat_sifr_collections_Counter': expected 'None | dict[T, int]', got 'list[int]'",no errors found,0,pass,no,cluster_stdlib_compat_counter_surface,compiler_fix,Counter compatibility signature/inference mismatch cascades into optional/Any contamination
0057_insert_interval,type error: min() with 2 arguments does not accept optional operands; got 'int | None' and 'int | None' (guard or unwrap first),no errors found,0,pass,no,cluster_cfg_narrowing_for_builtin_min_max,compiler_fix,min() sees Optional operands that should be narrowed to concrete interval endpoints
0064_minimum_path_sum,type error: min() with 2 arguments does not accept optional operands; got 'float | None' and 'float | None' (guard or unwrap first),no errors found,0,pass,no,cluster_cfg_narrowing_for_builtin_min_max,both,optional DP cell leakage plus numeric/int-vs-float contract cleanup needed
0088_merge_sorted_array,type error: list subscript assignment value type 'int | None' is not compatible with list element type 'int',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,subscript assignment propagates int|None into list[int] under bounded indices
0103_binary_tree_zigzag_level_order_traversal,type error: cannot compare 'list[list[int]]' and 'None' with ==,no errors found,0,pass,no,cluster_recursive_container_boundary,compiler_fix,tree queue/list operations leak None|TreeNode despite control-flow guards
0105_construct_binary_tree_from_preorder_and_inorder_traversal,type error: unsupported operand type(s) for +: 'int | None' and 'int',no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,indexed tree-split arithmetic leaks int|None where index is dominated as present
0106_construct_binary_tree_from_inorder_and_postorder_traversal,"type error: argument 1 ('val') of function 'TreeNode': expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_recursive_constructor_nullable_arg,compiler_fix,TreeNode constructor receives int|None because recursive split index not stabilized
0108_convert_sorted_array_to_binary_search_tree,"type error: argument 1 ('val') of function 'TreeNode': expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_recursive_constructor_nullable_arg,compiler_fix,TreeNode constructor argument should be concrete under midpoint bounds
0139_word_break,type error: list subscript assignment value type 'bool | None' is not compatible with list element type 'bool',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,memo table updates retain bool|None instead of refining to bool
0150_evaluate_reverse_polish_notation,"type error: return type mismatch: expected 'int', got 'Result[int, ParseError] | None'",warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_parse_result_and_optional_stack,both,parse Result plus optional stack pop semantics require explicit adaptation and better typing flow
0261_graph_valid_tree,"type error: argument 1 of callable 'union': expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,union/find arguments leak int|None from list access despite valid edge iteration shape
0287_find_the_duplicate_number,type error: cannot index type 'list[int]' with 'None | int',no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,cycle-detection indices remain Optional at dominated indexing sites
0304_range_sum_query_2d_immutable,type error: cannot compare 'None' and 'int' with ==,no errors found,0,pass,no,cluster_none_comparison_and_matrix_indexing,both,None/int comparison and nested indexing indicate mixed fixture-shape adaptation plus compiler narrowing gaps
0329_longest_increasing_path_in_a_matrix,"type error: argument 3 of callable 'dfs': expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_recursive_argument_optional_leakage,compiler_fix,recursive dfs args leak int|None despite checked coordinate bounds
0394_decode_string,type error: type 'None | str' has no method 'isdigit',no errors found,0,pass,no,cluster_parse_result_and_optional_stack,both,isdigit and arithmetic receive None/Result from stack+parse operations without explicit adaptation
0417_pacific_atlantic_water_flow,"type error: argument 4 of callable 'dfs': expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_recursive_argument_optional_leakage,compiler_fix,dfs call arguments leak int|None from bounded grid traversal indices
0438_find_all_anagrams_in_a_string,type error: 'in' operator: element type 'str | None' is not compatible with collection element type 'str',no errors found,0,pass,no,cluster_string_index_optional_leakage,compiler_fix,char extraction under bounded window leaks str|None into dict/in checks
0452_minimum_number_of_arrows_to_burst_balloons,type error: min() with 2 arguments does not accept optional operands; got 'int | None' and 'int | None' (guard or unwrap first),no errors found,0,pass,no,cluster_cfg_narrowing_for_builtin_min_max,compiler_fix,min() optional operands should narrow from sorted interval access
0567_permutation_in_string,"type error: ord() argument must be 'str', got 'str | None'",no errors found,0,pass,no,cluster_parse_result_and_optional_stack,both,ord receives str|None and parse/result pollution requires explicit adaptation + better narrowing
0778_swim_in_rising_water,type error: cannot unpack non-tuple type 'None | list[int | None]',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_heap_pop_optional_unpack,both,heap pop/unpack Optional tuple/list semantics need explicit non-empty adaptation and container typing improvements
0802_find_eventual_safe_states,type error: cannot iterate over type 'list[int] | None',no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,iteration over graph[i] leaks list[int]|None despite bounded i loop
0875_koko_eating_bananas,"type error: return type mismatch: expected 'int', got 'int | None'",no errors found,0,pass,no,cluster_binary_search_index_optional_arithmetic,both,binary-search math uses int|None intermediates; needs narrowing + canonical adaptation cleanup
0881_boats_to_save_people,type error: unsupported operand type(s) for +: 'int | None' and 'int | None',no errors found,0,pass,no,cluster_two_pointer_index_optional_arithmetic,compiler_fix,two-pointer bounded indices still typed as Optional in arithmetic
0904_fruit_into_baskets,type error: dict subscript assignment key type 'int | None' is not compatible with dict key type 'int',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,dict key receives int|None from bounded array index access
0948_bag_of_tokens,type error: unsupported operand type(s) for +: 'int' and 'int | None',no errors found,0,pass,no,cluster_two_pointer_index_optional_arithmetic,compiler_fix,two-pointer score math polluted by Optional index value under guarded bounds
0977_squares_of_a_sorted_array,"type error: abs() argument must be numeric, got 'int | None'",warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_two_pointer_index_optional_arithmetic,both,abs receives int|None; plus fixture local-name hygiene needed in canonical form
1203_sort_items_by_groups_respecting_dependencies,"type error: argument 1 ('items') of function '__compat_sifr_collections_deque': expected 'None | list[T]', got 'Iterator[int]'",no errors found,0,pass,no,cluster_stdlib_compat_deque_surface,both,deque compat expects list but gets iterator and optional/index contamination follows
1397_find_all_good_strings,type error: cannot index type 'str' with 'int | None',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_string_index_optional_leakage,both,string indexing with int|None plus helper-shape adaptation required for deterministic typing
1423_maximum_points_you_can_obtain_from_cards,type error: unsupported operand type(s) for -: 'int | None' and 'int | None',no errors found,0,pass,no,cluster_index_based_optional_leakage,compiler_fix,window arithmetic leaks Optional from bounded card index access
1498_number_of_subsequences_that_satisfy_the_given_sum_condition,type error: unsupported operand type(s) for +: 'int | None' and 'int | None',warning: int left shift (<<) with non-constant shift amount may overflow i64 at runtime; consider using bigint,0,pass,no,cluster_two_pointer_index_optional_arithmetic,compiler_fix,two-pointer arithmetic sees Optional where bounds imply concrete ints
1584_min_cost_to_connect_all_points,type error: cannot unpack non-tuple type 'None | list[int]',no errors found,0,pass,no,cluster_heap_pop_optional_unpack,both,heap tuple unpack receives Optional; requires explicit non-empty adaptation and comparable typing closure
1631_path_with_minimum_effort,"type error: cannot unpack non-tuple type 'None | tuple[int, int, int]'",warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_heap_pop_optional_unpack,both,priority-queue pop/unpack Optional tuple leakage plus return-type stabilization needed
1700_number_of_students_unable_to_eat_lunch,type error: list.append() argument type 'int | None' is not compatible with list element type 'int',no errors found,0,pass,no,cluster_container_element_optional_contamination,compiler_fix,queue/list append path leaks int|None into list[int]
1838_frequency_of_the_most_frequent_element,type error: unsupported operand type(s) for -: 'int' and 'int | None',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_binary_search_index_optional_arithmetic,compiler_fix,window arithmetic leaks Optional from bounded sorted array indices
1980_find_unique_binary_string,type error: if expression branches have incompatible types: 'None' and 'str',no errors found,0,pass,no,cluster_optional_sentinel_return_shape,sifr_adaptation,Python-style None sentinel branch in str-return helper should be rewritten to explicit Option flow
2300_successful_pairs_of_spells_and_potions,type error: unsupported operand type(s) for *: 'int' and 'int | None',warning: int multiplication with non-constant operands may overflow i64 at runtime; consider using bigint for large values,0,pass,no,cluster_binary_search_index_optional_arithmetic,compiler_fix,binary-search multiplication uses int|None from bounded potions index
