category,fixture_slug,root_cause_id,resolution_mode,first_diagnostic,all_diagnostics
any_unknown_typing_and_container_specialization_gap,0056_merge_intervals,AU-1-any_element_type_erasure,compiler,type error: cannot index type 'Any' with 'int',"type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: return type mismatch: expected 'list[list[int]]', got 'list[list[int] | None]' || type error: sort() got an unexpected keyword argument 'key'"
any_unknown_typing_and_container_specialization_gap,0084_largest_rectangle_in_histogram,AU-1-any_element_type_erasure,compiler,type error: '>' not supported between instances of 'Any' and 'int',type error: '>' not supported between instances of 'Any' and 'int' || type error: cannot index type 'Any | None' with 'int'
any_unknown_typing_and_container_specialization_gap,0239_sliding_window_maximum,AU-1-any_element_type_erasure,compiler,type error: '<' not supported between instances of 'Any' and 'int',type error: '<' not supported between instances of 'Any' and 'int' || type error: '>' not supported between instances of 'int' and 'Any' || type error: cannot index type 'deque' with 'int' || type error: cannot index type 'list[int]' with 'Any'
any_unknown_typing_and_container_specialization_gap,0253_meeting_rooms_ii,AU-1-any_element_type_erasure,compiler,type error: cannot index type 'Any' with 'int',"type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: parameter 'self' in function 'minMeetingRooms' is missing a type annotation || type error: sort() got an unexpected keyword argument 'key' || type error: unsupported operand type(s) for +: 'int' and 'Any'"
any_unknown_typing_and_container_specialization_gap,0456_132_pattern,AU-1-any_element_type_erasure,compiler,type error: '<' not supported between instances of 'int' and 'Any',"type error: '<' not supported between instances of 'int' and 'Any' || type error: '>=' not supported between instances of 'int' and 'Any' || type error: cannot index type 'Any | None' with 'int' || type error: list element type mismatch: expected 'int', got 'int | None' || type error: min() with 2 arguments does not accept optional operands; got 'int' and 'int | None' (guard or unwrap first)"
any_unknown_typing_and_container_specialization_gap,0739_daily_temperatures,AU-1-any_element_type_erasure,compiler,type error: '>' not supported between instances of 'int' and 'Any',type error: '>' not supported between instances of 'int' and 'Any' || type error: cannot index type 'Any | None' with 'int'
any_unknown_typing_and_container_specialization_gap,0862_shortest_subarray_with_sum_at_least_k,AU-1-any_element_type_erasure,compiler,type error: '<=' not supported between instances of 'int' and 'Any',type error: '<=' not supported between instances of 'int' and 'Any' || type error: cannot index type 'deque' with 'int' || type error: cannot index type 'list[int]' with 'Any' || type error: unsupported operand type(s) for +: 'int | None' and 'int' || type error: unsupported operand type(s) for -: 'int' and 'Any'
any_unknown_typing_and_container_specialization_gap,1029_two_city_scheduling,AU-1-any_element_type_erasure,compiler,type error: cannot index type 'Any' with 'int',"type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: unsupported operand type(s) for +: 'int' and 'Any'"
any_unknown_typing_and_container_specialization_gap,1137_n_th_tribonacci_number,AU-1-any_element_type_erasure,compiler,type error: unsupported operand type(s) for +: 'Any' and 'Any',type error: unsupported operand type(s) for +: 'Any' and 'Any'
any_unknown_typing_and_container_specialization_gap,1288_remove_covered_intervals,AU-1-any_element_type_erasure,compiler,type error: bad operand type for unary -: 'Any',"type error: bad operand type for unary -: 'Any' || type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'"
any_unknown_typing_and_container_specialization_gap,1851_minimum_interval_to_include_each_query,AU-1-any_element_type_erasure,compiler,type error: '<' not supported between instances of 'Any' and 'int',type error: '<' not supported between instances of 'Any' and 'int' || type error: cannot index type 'Any' with 'int' || type error: cannot mutate through immutable parameter `intervals`: add `mut` to the parameter declaration || type error: cannot unpack non-tuple type 'list[int]' || type error: undefined variable: 'r'
any_unknown_typing_and_container_specialization_gap,2306_naming_a_company,AU-1-any_element_type_erasure,compiler,type error: cannot iterate over type 'set[Any] | None',type error: cannot iterate over type 'set[Any] | None' || type error: type 'None | set[Any]' has no method 'add'
any_unknown_typing_and_container_specialization_gap,0210_course_schedule_ii,AU-2-unknown_flow_leak,compiler,type error: cannot index type 'Unknown' with 'int',"type error: cannot index type 'Unknown' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: for-loop iterable must have a statically-known element type, got 'Any'"
any_unknown_typing_and_container_specialization_gap,0332_reconstruct_itinerary,AU-2-unknown_flow_leak,compiler,"type error: argument 1 of callable 'dfs': expected 'dict[str, list[str]]', got 'Unknown'","type error: argument 1 of callable 'dfs': expected 'dict[str, list[str]]', got 'Unknown' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[str]' || type error: for-loop iterable must have a statically-known element type, got 'Unknown'"
any_unknown_typing_and_container_specialization_gap,2092_find_all_people_with_secret,AU-2-unknown_flow_leak,compiler,type error: cannot iterate over type 'Unknown | None',"type error: cannot iterate over type 'Unknown | None' || type error: cannot iterate over type 'list[int] | None' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: undefined variable: 'visit'"
any_unknown_typing_and_container_specialization_gap,2101_detonate_the_maximum_bombs,AU-2-unknown_flow_leak,compiler,type error: cannot index type 'Unknown' with 'int',"type error: cannot index type 'Unknown' with 'int' || type error: cannot unpack non-tuple type 'list[int]' || type error: for-loop iterable must have a statically-known element type, got 'Any' || type error: undefined function: 'sqrt' || type error: undefined variable: 'dst'"
any_unknown_typing_and_container_specialization_gap,0355_design_twitter,AU-3-optional_any_bridge_leak,compiler,type error: cannot unpack non-tuple type 'None | Any',type error: cannot unpack non-tuple type 'None | Any' || type error: type 'Any' does not implement protocol 'Comparable' required by type parameter 'T' || type error: type 'Twitter' has no field 'followMap' || type error: type 'Twitter' has no field 'tweetMap' || type error: undefined variable: 'index' || type error: undefined variable: 'tweetId'
any_unknown_typing_and_container_specialization_gap,0402_remove_k_digits,AU-3-optional_any_bridge_leak,compiler,type error: '>' not supported between instances of 'Any | None' and 'str',"type error: '>' not supported between instances of 'Any | None' and 'str' || type error: if condition must be bool or collection/string truthiness, got 'int' || type error: return type mismatch: expected 'str', got 'bool'"
any_unknown_typing_and_container_specialization_gap,0496_next_greater_element_i,AU-3-optional_any_bridge_leak,compiler,type error: '>' not supported between instances of 'int' and 'Any | None',"type error: '>' not supported between instances of 'int' and 'Any | None' || type error: cannot iterate over type 'Iterator[tuple[int, int]]' || type error: undefined variable: 'nums1Idx'"
any_unknown_typing_and_container_specialization_gap,0735_asteroid_collision,AU-3-optional_any_bridge_leak,compiler,type error: '>' not supported between instances of 'Any | None' and 'int',"type error: '>' not supported between instances of 'Any | None' and 'int' || type error: if condition must be bool or collection/string truthiness, got 'int'"
any_unknown_typing_and_container_specialization_gap,1475_final_prices_with_a_special_discount_in_a_shop,AU-3-optional_any_bridge_leak,compiler,type error: '<=' not supported between instances of 'Any | None' and 'int',type error: '<=' not supported between instances of 'Any | None' and 'int'
any_unknown_typing_and_container_specialization_gap,1642_furthest_building_you_can_reach,AU-3-optional_any_bridge_leak,compiler,type error: bad operand type for unary -: 'None | Any',type error: bad operand type for unary -: 'None | Any' || type error: cannot reassign immutable parameter `ladders`: add `mut` to the parameter declaration || type error: type 'Any' does not implement protocol 'Comparable' required by type parameter 'T' || type error: undefined variable: 'diff' || type error: unsupported operand type(s) for -: 'int | None' and 'int'
any_unknown_typing_and_container_specialization_gap,0144_binary_tree_preorder_traversal,AU-4-container_shape_specialization_leak,compiler,type error: cannot compare 'list[int]' and 'list[Any]' with ==,type error: cannot compare 'list[int]' and 'list[Any]' with ==
any_unknown_typing_and_container_specialization_gap,0145_binary_tree_postorder_traversal,AU-4-container_shape_specialization_leak,compiler,type error: cannot compare 'list[int]' and 'list[Any]' with ==,type error: cannot compare 'list[int]' and 'list[Any]' with ==
any_unknown_typing_and_container_specialization_gap,0442_find_all_duplicates_in_an_array,AU-4-container_shape_specialization_leak,compiler,type error: cannot compare 'list[int]' and 'list[Any]' with ==,type error: cannot compare 'list[int]' and 'list[Any]' with == || type error: cannot mutate through immutable parameter `nums`: add `mut` to the parameter declaration
any_unknown_typing_and_container_specialization_gap,1489_find_critical_and_pseudo_critical_edges_in_minimum_spanning_tree,AU-4-container_shape_specialization_leak,compiler,type error: cannot compare 'list[list[int]]' and 'list[list[Any]]' with ==,"type error: cannot compare 'list[list[int]]' and 'list[list[Any]]' with == || type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: sort() got an unexpected keyword argument 'key' || type error: type 'UnionFind' has no field 'par' || type error: type 'UnionFind' has no field 'rank'"
class_field_state_and_object_layout,0155_min_stack,CF-1-class_field_registration_gap,compiler,type error: type 'MinStack' has no field 'minStack',type error: type 'MinStack' has no field 'minStack' || type error: type 'MinStack' has no field 'stack'
class_field_state_and_object_layout,0208_implement_trie_prefix_tree,CF-1-class_field_registration_gap,compiler,type error: type 'Trie' has no field 'root',"type error: type 'Trie' has no field 'root' || type error: undefined variable: 'curr' || type error: ... +2 more similar diagnostics || type error: unsupported operand type(s) for -: 'Result[int, ValueError]' and 'int'"
class_field_state_and_object_layout,0225_implement_stack_using_queues,CF-1-class_field_registration_gap,compiler,type error: type 'MyStack' has no field 'q',type error: type 'MyStack' has no field 'q'
class_field_state_and_object_layout,0232_implement_queue_using_stacks,CF-1-class_field_registration_gap,compiler,type error: type 'MyQueue' has no field 'append_stack',type error: type 'MyQueue' has no field 'append_stack' || type error: type 'MyQueue' has no field 'inverted_stack'
class_field_state_and_object_layout,0303_range_sum_query_immutable,CF-1-class_field_registration_gap,compiler,type error: type 'NumArray' has no field 'prefix',type error: type 'NumArray' has no field 'prefix' || type error: undefined variable: 'r'
class_field_state_and_object_layout,0535_encode_and_decode_tinyurl,CF-1-class_field_registration_gap,compiler,type error: type 'Codec' has no field 'decodeMap',type error: type 'Codec' has no field 'decodeMap' || type error: type 'Codec' has no field 'encodeMap'
class_field_state_and_object_layout,0705_design_hashset,CF-1-class_field_registration_gap,compiler,type error: type 'MyHashSet' has no field 'hashset',type error: type 'MyHashSet' has no field 'hashset'
class_field_state_and_object_layout,0706_design_hashmap,CF-1-class_field_registration_gap,compiler,type error: type 'MyHashMap' has no field 'map',type error: type 'MyHashMap' has no field 'map' || type error: undefined variable: 'cur'
class_field_state_and_object_layout,0721_accounts_merge,CF-1-class_field_registration_gap,compiler,type error: type 'UnionFind' has no field 'par',type error: type 'UnionFind' has no field 'par' || type error: type 'UnionFind' has no field 'rank' || type error: unsupported operand type(s) for +: 'list[str | None]' and 'list[str]'
class_field_state_and_object_layout,0745_prefix_and_suffix_search,CF-1-class_field_registration_gap,compiler,type error: type 'WordFilter' has no field 'root',type error: type 'WordFilter' has no field 'root' || type error: undefined variable: 'cur'
class_field_state_and_object_layout,0901_online_stock_span,CF-1-class_field_registration_gap,compiler,type error: type 'StockSpanner' has no field 'stack',type error: type 'StockSpanner' has no field 'stack'
class_field_state_and_object_layout,0981_time_based_key_value_store,CF-1-class_field_registration_gap,compiler,type error: type 'TimeMap' has no field 'keyStore',type error: type 'TimeMap' has no field 'keyStore' || type error: undefined variable: 'l' || type error: undefined variable: 'res' || type error: undefined variable: 'values'
class_field_state_and_object_layout,1603_design_parking_system,CF-1-class_field_registration_gap,compiler,type error: type 'ParkingSystem' has no field 'parking',type error: type 'ParkingSystem' has no field 'parking' || type error: undefined variable: 'new_total'
class_field_state_and_object_layout,1845_seat_reservation_manager,CF-1-class_field_registration_gap,compiler,type error: type 'SeatManager' has no field 'seats',type error: type 'SeatManager' has no field 'seats'
class_field_state_and_object_layout,0707_design_linked_list,CF-2-nested_attribute_assignment_gap,compiler,type error: attribute assignment target must be a simple name,type error: attribute assignment target must be a simple name || type error: parameter 'val' in ListNode.__init__ is missing a type annotation || type error: type 'MyLinkedList' has no field 'left' || type error: type 'MyLinkedList' has no field 'right' || type error: undefined variable: 'cur' || type error: undefined variable: 'next' || type error: undefined variable: 'node' || type error: ... +1 more similar diagnostics
class_field_state_and_object_layout,1472_design_browser_history,CF-2-nested_attribute_assignment_gap,compiler,type error: attribute assignment target must be a simple name,type error: attribute assignment target must be a simple name || type error: parameter 'next' in ListNode.__init__ is missing a type annotation || type error: parameter 'prev' in ListNode.__init__ is missing a type annotation || type error: parameter 'val' in ListNode.__init__ is missing a type annotation || type error: type 'BrowserHistory' has no field 'cur' || type error: type 'BrowserHistory' has no field 'history' || type error: type 'BrowserHistory' has no field 'i'
destructuring_and_assignment_target_surface_gap,0012_integer_to_roman,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[str]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[str]' || type error: list element type mismatch: expected 'str', got 'int' || type error: ... +8 more similar diagnostics"
destructuring_and_assignment_target_surface_gap,0323_number_of_connected_components_in_an_undirected_graph,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: parameter 'x' in UnionFind.findParent is missing a type annotation || type error: parameter 'x' in UnionFind.union is missing a type annotation || type error: parameter 'y' in UnionFind.union is missing a type annotation || type error: type 'UnionFind' has no field 'f' || type error: undefined variable: 'y'"
destructuring_and_assignment_target_surface_gap,0787_cheapest_flights_within_k_stops,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: parameter 'self' in function 'findCheapestPrice' is missing a type annotation"
destructuring_and_assignment_target_surface_gap,0994_rotting_oranges,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'"
destructuring_and_assignment_target_surface_gap,1091_shortest_path_in_binary_matrix,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'"
destructuring_and_assignment_target_surface_gap,1462_course_schedule_iv,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: function 'dfs' return type could not be inferred deterministically || type error: undefined variable: 'prereqMap'"
destructuring_and_assignment_target_surface_gap,1466_reorder_routes_to_make_all_paths_lead_to_the_city_zero,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: recursive nested function 'dfs' cannot mutate captured state with `nonlocal` yet || type error: set comprehension target must be a simple name || type error: undefined variable: 'edges'"
destructuring_and_assignment_target_surface_gap,2001_number_of_pairs_of_interchangeable_rectangles,DS-1-list_pair_destructure_requires_tuple,both,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'","type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: unsupported operand type(s) for -: 'Any' and 'int'"
destructuring_and_assignment_target_surface_gap,0076_minimum_window_substring,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[int]',type error: cannot unpack non-tuple type 'list[int]' || type error: function 'minWindow' must return a value of type 'str' on all control-flow paths || type error: undefined variable: 'r'
destructuring_and_assignment_target_surface_gap,0286_walls_and_gates,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[int]',type error: cannot unpack non-tuple type 'list[int]' || type error: undefined variable: 'r'
destructuring_and_assignment_target_surface_gap,0673_number_of_longest_increasing_subsequence,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[int]',type error: cannot unpack non-tuple type 'list[int]' || type error: tuple unpacking cannot rebind captured state with `nonlocal` yet || type error: undefined variable: 'length'
destructuring_and_assignment_target_surface_gap,0752_open_the_lock,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[str]',"type error: cannot unpack non-tuple type 'list[str]' || type error: list element type mismatch: expected 'str', got 'int' || type error: undefined variable: 'wheel'"
destructuring_and_assignment_target_surface_gap,0909_snakes_and_ladders,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[int]',"type error: cannot unpack non-tuple type 'list[int]' || type error: if condition must be bool or collection/string truthiness, got 'int' || type error: undefined variable: 'nextSquare' || type error: undefined variable: 'r' || type error: undefined variable: 'square'"
destructuring_and_assignment_target_surface_gap,0929_unique_email_addresses,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[str]',type error: cannot unpack non-tuple type 'list[str]' || type error: undefined variable: 'local_name'
destructuring_and_assignment_target_surface_gap,1260_shift_2d_grid,DS-2-list_unpack_requires_tuple,both,type error: cannot unpack non-tuple type 'list[int]',type error: cannot unpack non-tuple type 'list[int]' || type error: undefined variable: 'newR'
destructuring_and_assignment_target_surface_gap,0516_longest_palindromic_subsequence,DS-3-augassign_subscript_lowering_gap,compiler,type error: augmented subscript assignment target must be a simple name,"type error: augmented subscript assignment target must be a simple name || type error: duplicate function definition in module: 'longestPalindromeSubseq' || type error: max() with 2 arguments does not accept optional operands; got 'int | None' and 'int | None' (guard or unwrap first) || type error: max() with 2 arguments does not accept optional operands; got 'int' and 'int | None' (guard or unwrap first) || type error: return type mismatch: expected 'int', got 'int | None' || type error: unsupported operand type(s) for +: 'int' and 'int | None'"
destructuring_and_assignment_target_surface_gap,0895_maximum_frequency_stack,DS-3-augassign_subscript_lowering_gap,compiler,type error: augmented subscript assignment target must be a simple name,type error: augmented subscript assignment target must be a simple name || type error: type 'FreqStack' has no field 'cnt' || type error: type 'FreqStack' has no field 'stacks' || type error: undefined variable: 'res' || type error: undefined variable: 'valCnt'
destructuring_and_assignment_target_surface_gap,1396_design_underground_system,DS-3-augassign_subscript_lowering_gap,compiler,type error: augmented subscript assignment target must be a simple name,type error: augmented subscript assignment target must be a simple name || type error: type 'UndergroundSystem' has no field 'customer' || type error: type 'UndergroundSystem' has no field 'time' || type error: undefined variable: 'route' || type error: undefined variable: 'start' || type error: undefined variable: 'total'
destructuring_and_assignment_target_surface_gap,2013_detect_squares,DS-3-augassign_subscript_lowering_gap,compiler,type error: augmented subscript assignment target must be a simple name,type error: augmented subscript assignment target must be a simple name || type error: cannot unpack non-tuple type 'list[int]' || type error: type 'DetectSquares' has no field 'pts'
destructuring_and_assignment_target_surface_gap,2482_difference_between_ones_and_zeros_in_row_and_column,DS-3-augassign_subscript_lowering_gap,compiler,type error: augmented subscript assignment target must be a simple name,type error: augmented subscript assignment target must be a simple name || type error: unsupported operand type(s) for +: 'int | None' and 'int | None'
destructuring_and_assignment_target_surface_gap,0280_wiggle_sort,DS-4-unpack_target_shape_restriction,adaptation,type error: tuple unpacking target must be a simple name or attribute,type error: tuple unpacking target must be a simple name or attribute
destructuring_and_assignment_target_surface_gap,0283_move_zeroes,DS-4-unpack_target_shape_restriction,adaptation,type error: tuple unpacking target must be a simple name or attribute,type error: tuple unpacking target must be a simple name or attribute
destructuring_and_assignment_target_surface_gap,0344_reverse_string,DS-4-unpack_target_shape_restriction,adaptation,type error: tuple unpacking target must be a simple name or attribute,type error: tuple unpacking target must be a simple name or attribute
destructuring_and_assignment_target_surface_gap,0622_design_circular_queue,DS-5-chained_assignment_restriction,adaptation,type error: chained assignment targets must be simple names,type error: chained assignment targets must be simple names || type error: type 'MyCircularQueue' has no field 'capacity' || type error: type 'MyCircularQueue' has no field 'head' || type error: type 'MyCircularQueue' has no field 'size' || type error: type 'MyCircularQueue' has no field 'tail'
return_path_and_function_contract_gap,0049_group_anagrams,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'groupAnagrams',"type error: duplicate function definition in module: 'groupAnagrams' || type error: tuple() currently requires a tuple, list literal, or string literal because Sifr tuples are fixed-length typed values || type error: undefined variable: 'tup'"
return_path_and_function_contract_gap,0231_power_of_two,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'isPowerOfTwo',type error: duplicate function definition in module: 'isPowerOfTwo'
return_path_and_function_contract_gap,0338_counting_bits,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'countBits',type error: duplicate function definition in module: 'countBits' || type error: unsupported operand type(s) for +: 'int' and 'int | None'
return_path_and_function_contract_gap,0621_task_scheduler,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'leastInterval',type error: duplicate function definition in module: 'leastInterval' || type error: undefined function: 'Counter' || type error: undefined variable: 'count' || type error: undefined variable: 'maxHeap'
return_path_and_function_contract_gap,0658_find_k_closest_elements,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'findClosestElements',type error: duplicate function definition in module: 'findClosestElements' || type error: undefined variable: 'curDiff' || type error: unsupported operand type(s) for -: 'int | None' and 'int' || type error: unsupported operand type(s) for -: 'int' and 'int | None'
return_path_and_function_contract_gap,1481_least_number_of_unique_integers_after_k_removals,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'findLeastNumOfUniqueInts',type error: duplicate function definition in module: 'findLeastNumOfUniqueInts' || type error: function 'findLeastNumOfUniqueInts' must return a value of type 'int' on all control-flow paths || type error: undefined function: 'Counter' || type error: undefined variable: 'freq' || type error: undefined variable: 'heap' || type error: undefined variable: 'res'
return_path_and_function_contract_gap,2864_maximum_odd_binary_number,RF-1-duplicate_solution_definitions,adaptation,type error: duplicate function definition in module: 'maximumOddBinaryNumber',type error: duplicate function definition in module: 'maximumOddBinaryNumber'
return_path_and_function_contract_gap,0018_4sum,RF-2-loop_local_scope_resolution_bug,compiler,type error: undefined variable: 's',type error: undefined variable: 's' || type error: unsupported operand type(s) for *: 'int | None' and 'int' || type error: unsupported operand type(s) for +: 'int | None' and 'int | None' || type error: unsupported operand type(s) for -: 'int' and 'int | None'
return_path_and_function_contract_gap,0134_gas_station,RF-2-loop_local_scope_resolution_bug,compiler,type error: undefined variable: 'diff',type error: undefined variable: 'diff' || type error: unsupported operand type(s) for -: 'int' and 'int | None'
return_path_and_function_contract_gap,0149_max_points_on_a_line,RF-2-loop_local_scope_resolution_bug,compiler,type error: undefined variable: 'slope',type error: undefined variable: 'slope' || type error: unsupported operand type(s) for -: 'int | None' and 'int | None'
return_path_and_function_contract_gap,0410_split_array_largest_sum,RF-2-loop_local_scope_resolution_bug,compiler,type error: undefined variable: 'mid',type error: undefined variable: 'mid' || type error: unsupported operand type(s) for -: 'int' and 'int | None'
return_path_and_function_contract_gap,1011_capacity_to_ship_packages_within_d_days,RF-2-loop_local_scope_resolution_bug,compiler,type error: undefined variable: 'cap',type error: undefined variable: 'cap' || type error: unsupported operand type(s) for +: 'int | None' and 'int'
return_path_and_function_contract_gap,1074_number_of_submatrices_that_sum_to_target,RF-2-loop_local_scope_resolution_bug,compiler,type error: undefined variable: 'cur_sum',type error: undefined variable: 'cur_sum' || type error: undefined variable: 'diff' || type error: unsupported operand type(s) for +: 'int | None' and 'int | None' || type error: unsupported operand type(s) for -: 'int | None' and 'int | None'
return_path_and_function_contract_gap,0118_pascals_triangle,RF-3-return_completeness_false_positive,compiler,type error: function 'generate' must return a value of type 'list[list[int]]' on all control-flow paths,type error: function 'generate' must return a value of type 'list[list[int]]' on all control-flow paths || type error: parameter 'rowIndex' in function 'generate' is missing a type annotation || type error: parameter 'rowIndex' in function 'getAllRow' is missing a type annotation || type error: undefined variable: 'Len' || type error: undefined variable: 'ListPrec' || type error: unsupported operand type(s) for -: 'Never' and 'int'
return_path_and_function_contract_gap,0153_find_minimum_in_rotated_sorted_array,RF-3-return_completeness_false_positive,compiler,type error: function 'findMin' must return a value of type 'int' on all control-flow paths,type error: function 'findMin' must return a value of type 'int' on all control-flow paths || type error: min() with 2 arguments does not accept optional operands; got 'float' and 'int | None' (guard or unwrap first)
return_path_and_function_contract_gap,0162_find_peak_element,RF-3-return_completeness_false_positive,compiler,type error: function 'findPeakElement' must return a value of type 'int' on all control-flow paths,type error: function 'findPeakElement' must return a value of type 'int' on all control-flow paths || type error: undefined variable: 'mid'
return_path_and_function_contract_gap,0167_two_sum_ii_input_array_is_sorted,RF-3-return_completeness_false_positive,compiler,type error: function 'twoSum' must return a value of type 'list[int]' on all control-flow paths,type error: function 'twoSum' must return a value of type 'list[int]' on all control-flow paths
return_path_and_function_contract_gap,0221_maximal_square,RF-3-return_completeness_false_positive,compiler,type error: function 'maximalSquare' must return a value of type 'int' on all control-flow paths,"type error: function 'maximalSquare' must return a value of type 'int' on all control-flow paths || type error: min() takes 1 or 2 arguments || type error: return type mismatch: expected 'int', got 'int | None' || type error: unsupported operand type(s) for **: 'int | None' and 'int'"
return_path_and_function_contract_gap,0347_top_k_frequent_elements,RF-3-return_completeness_false_positive,compiler,type error: function 'topKFrequent' must return a value of type 'list[int]' on all control-flow paths,type error: function 'topKFrequent' must return a value of type 'list[int]' on all control-flow paths || type error: type 'None | list[Any]' has no method 'append' || type error: unsupported operand type(s) for +: 'list[Any]' and 'list[Any] | None'
return_path_and_function_contract_gap,0367_valid_perfect_square,RF-3-return_completeness_false_positive,compiler,type error: function 'isPerfectSquare' must return a value of type 'bool' on all control-flow paths,type error: function 'isPerfectSquare' must return a value of type 'bool' on all control-flow paths
return_path_and_function_contract_gap,0463_island_perimeter,RF-3-return_completeness_false_positive,compiler,type error: function 'islandPerimeter' must return a value of type 'int' on all control-flow paths,type error: function 'islandPerimeter' must return a value of type 'int' on all control-flow paths
return_path_and_function_contract_gap,0918_maximum_sum_circular_subarray,RF-3-return_completeness_false_positive,compiler,type error: function 'maxSubarraySumCircular' must return a value of type 'int' on all control-flow paths,type error: function 'maxSubarraySumCircular' must return a value of type 'int' on all control-flow paths || type error: max() with 2 arguments does not accept optional operands; got 'int' and 'int | None' (guard or unwrap first) || type error: min() with 2 arguments does not accept optional operands; got 'int' and 'int | None' (guard or unwrap first) || type error: unsupported operand type(s) for -: 'int' and 'int | None'
return_path_and_function_contract_gap,1572_matrix_diagonal_sum,RF-3-return_completeness_false_positive,compiler,type error: function 'diagonalSum' must return a value of type 'int' on all control-flow paths,"type error: function 'diagonalSum' must return a value of type 'int' on all control-flow paths || type error: len() argument must be a string, bytes, list, dict, tuple, set, or sized class, got 'Any' || type error: parameter 'mat' in function 'CrossSum' is missing a type annotation || type error: parameter 'mat' in function 'PrimeSum' is missing a type annotation || type error: unsupported operand type(s) for +: 'Any' and 'Any'"
return_path_and_function_contract_gap,2709_greatest_common_divisor_traversal,RF-3-return_completeness_false_positive,compiler,type error: function 'canTraverseAllPairs' must return a value of type 'bool' on all control-flow paths,"type error: function 'canTraverseAllPairs' must return a value of type 'bool' on all control-flow paths || type error: parameter 'n' in UnionFind.__init__ is missing a type annotation || type error: parameter 'x' in UnionFind.find is missing a type annotation || type error: parameter 'x' in UnionFind.union is missing a type annotation || type error: parameter 'y' in UnionFind.union is missing a type annotation || type error: range() stop argument must be 'int', got 'Any' || type error: type 'UnionFind' has no field 'count' || type error: type 'UnionFind' has no field 'par' || type error: type 'UnionFind' has no field 'size' || type error: unsupported operand type(s) for *: 'list[int]' and 'Any'"
